"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"27","27001","00460","00460","56431","99999","02760","10,000-24,999","1000-2499","MN","Aitkin MN","Aitkin city","Aitkin city, MN","99999","Aitkin, MN","Aitkin Public School District",2165,1 
"27","27001","00478","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Aitkin township"," ","99999","Aitkin, MN","Aitkin Public School District",856,1 
"27","27001","03358","99999","55752","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Ball Bluff township"," ","99999","Jacobson, MN","Hill City Public School District",177,1 
"27","27001","03358","99999","55752","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Ball Bluff township"," ","99999","Jacobson, MN","McGregor Public School District",101,1 
"27","27001","03412","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Balsam township"," ","99999","Mcgregor, MN","McGregor Public School District",12,1 
"27","27001","03412","99999","55787","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Balsam township"," ","99999","Tamarack, MN","McGregor Public School District",30,1 
"27","27001","04384","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Beaver township"," ","99999","Mcgregor, MN","McGregor Public School District",28,1 
"27","27001","04384","99999","55783","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Beaver township"," ","99999","Sturgeon Lake, MN","McGregor Public School District",14,1 
"27","27001","04384","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Beaver township"," ","99999","Mc Grath, MN","McGregor Public School District",11,1 
"27","27001","11620","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Clark township"," ","99999","Mcgregor, MN","McGregor Public School District",39,1 
"27","27001","11620","99999","55787","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Clark township"," ","99999","Tamarack, MN","McGregor Public School District",130,1 
"27","27001","13330","99999","55752","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Cornish township"," ","99999","Jacobson, MN","Hill City Public School District",4,1 
"27","27001","13330","99999","55752","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Cornish township"," ","99999","Jacobson, MN","McGregor Public School District",24,1 
"27","27001","14903","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Davidson UT"," ","99999","Mcgregor, MN","McGregor Public School District",34,1 
"27","27001","14903","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Davidson UT"," ","99999","Aitkin, MN","Aitkin Public School District",3,1 
"27","27001","14903","99999","56431","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Davidson UT"," ","99999","Aitkin, MN","McGregor Public School District",5,1 
"27","27001","20654","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Farm Island township"," ","99999","Aitkin, MN","Aitkin Public School District",1099,1 
"27","27001","21230","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Fleming township"," ","99999","Aitkin, MN","Aitkin Public School District",217,1 
"27","27001","21230","99999","56431","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Fleming township"," ","99999","Aitkin, MN","McGregor Public School District",8,1 
"27","27001","21230","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Fleming township"," ","99999","Palisade, MN","Aitkin Public School District",87,1 
"27","27001","23930","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Glen township"," ","99999","Aitkin, MN","Aitkin Public School District",450,1 
"27","27001","27602","99999","55787","99999","09690","10,000-24,999","Not in a place","MN","Aitkin MN","Haugen township"," ","99999","Tamarack, MN","Cromwell-Wright Public Schools",1,1 
"27","27001","27602","99999","55787","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Haugen township"," ","99999","Tamarack, MN","McGregor Public School District",174,1 
"27","27001","27602","99999","55798","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Haugen township"," ","99999","Wright, MN","McGregor Public School District",3,1 
"27","27001","28052","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Hazelton township"," ","99999","Aitkin, MN","Aitkin Public School District",844,1 
"27","27001","29096","29096","55748","99999","14010","10,000-24,999","200-999","MN","Aitkin MN","Hill City city","Hill City city, MN","99999","Hill City, MN","Hill City Public School District",633,1 
"27","27001","29114","99999","55748","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Hill Lake township"," ","99999","Hill City, MN","Hill City Public School District",377,1 
"27","27001","29114","99999","55785","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Hill Lake township"," ","99999","Swatara, MN","Hill City Public School District",53,1 
"27","27001","30788","99999","56342","99999","15510","10,000-24,999","Not in a place","MN","Aitkin MN","Idun township"," ","99999","Isle, MN","Isle Public School District",181,1 
"27","27001","30788","99999","56350","99999","15510","10,000-24,999","Not in a place","MN","Aitkin MN","Idun township"," ","99999","Mc Grath, MN","Isle Public School District",48,1 
"27","27001","30788","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Idun township"," ","99999","Mc Grath, MN","McGregor Public School District",30,1 
"27","27001","31958","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Jevne township"," ","99999","Mcgregor, MN","McGregor Public School District",299,1 
"27","27001","31958","99999","56431","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Jevne township"," ","99999","Aitkin, MN","McGregor Public School District",23,1 
"27","27001","31966","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Jewett UT"," ","99999","Mc Grath, MN","McGregor Public School District",47,1 
"27","27001","33218","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Kimberly township"," ","99999","Aitkin, MN","Aitkin Public School District",195,1 
"27","27001","34982","99999","56342","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Lakeside township"," ","99999","Isle, MN","Aitkin Public School District",11,1 
"27","27001","34982","99999","56342","99999","15510","10,000-24,999","Not in a place","MN","Aitkin MN","Lakeside township"," ","99999","Isle, MN","Isle Public School District",427,1 
"27","27001","34982","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Lakeside township"," ","99999","Aitkin, MN","Aitkin Public School District",25,1 
"27","27001","36152","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Lee township"," ","99999","Mcgregor, MN","McGregor Public School District",5,1 
"27","27001","36152","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Lee township"," ","99999","Aitkin, MN","Aitkin Public School District",45,1 
"27","27001","36908","99999","55752","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Libby township"," ","99999","Jacobson, MN","McGregor Public School District",4,1 
"27","27001","36908","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Libby township"," ","99999","Mcgregor, MN","McGregor Public School District",20,1 
"27","27001","36908","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Libby township"," ","99999","Palisade, MN","Aitkin Public School District",21,1 
"27","27001","37844","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Logan township"," ","99999","Palisade, MN","Aitkin Public School District",184,1 
"27","27001","38996","38996","56350","99999","19170","10,000-24,999","Less than 200","MN","Aitkin MN","McGrath city","McGrath city, MN","99999","Mc Grath, MN","McGregor Public School District",80,1 
"27","27001","39014","39014","55760","99999","19170","10,000-24,999","200-999","MN","Aitkin MN","McGregor city","McGregor city, MN","99999","Mcgregor, MN","McGregor Public School District",391,1 
"27","27001","39032","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","McGregor township"," ","99999","Mcgregor, MN","McGregor Public School District",105,1 
"27","27001","39212","99999","55748","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Macville township"," ","99999","Hill City, MN","Hill City Public School District",144,1 
"27","27001","39212","99999","55785","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Macville township"," ","99999","Swatara, MN","Hill City Public School District",62,1 
"27","27001","39590","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Malmo township"," ","99999","Aitkin, MN","Aitkin Public School District",337,1 
"27","27001","42300","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Millward township"," ","99999","Mcgregor, MN","McGregor Public School District",4,1 
"27","27001","42300","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Millward township"," ","99999","Mc Grath, MN","McGregor Public School District",7,1 
"27","27001","42300","99999","56350","99999","42750","10,000-24,999","Not in a place","MN","Aitkin MN","Millward township"," ","99999","Mc Grath, MN","Willow River Public School District",61,1 
"27","27001","44278","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Morrison township"," ","99999","Aitkin, MN","Aitkin Public School District",191,1 
"27","27001","44278","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Morrison township"," ","99999","Palisade, MN","Aitkin Public School District",9,1 
"27","27001","46546","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Nordland township"," ","99999","Aitkin, MN","Aitkin Public School District",972,1 
"27","27001","46890","99999","55752","99999","12210","10,000-24,999","Not in a place","MN","Aitkin MN","Northeast Aitkin UT"," ","99999","Jacobson, MN","Floodwood Public School District",11,1 
"27","27001","47342","99999","55748","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Northwest Aitkin UT"," ","99999","Hill City, MN","Hill City Public School District",55,1 
"27","27001","47342","99999","55752","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Northwest Aitkin UT"," ","99999","Jacobson, MN","Hill City Public School District",29,1 
"27","27001","47342","99999","55785","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Northwest Aitkin UT"," ","99999","Swatara, MN","Hill City Public School District",96,1 
"27","27001","47342","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Northwest Aitkin UT"," ","99999","Aitkin, MN","Aitkin Public School District",42,1 
"27","27001","47342","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Northwest Aitkin UT"," ","99999","Palisade, MN","Aitkin Public School District",120,1 
"27","27001","49498","49498","56469","99999","02760","10,000-24,999","Less than 200","MN","Aitkin MN","Palisade city","Palisade city, MN","99999","Palisade, MN","Aitkin Public School District",167,1 
"27","27001","51694","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Pliny township"," ","99999","Mc Grath, MN","McGregor Public School District",109,1 
"27","27001","54106","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Rice River township"," ","99999","Mcgregor, MN","McGregor Public School District",136,1 
"27","27001","58270","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Salo township"," ","99999","Mcgregor, MN","McGregor Public School District",99,1 
"27","27001","58270","99999","55787","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Salo township"," ","99999","Tamarack, MN","McGregor Public School District",3,1 
"27","27001","59134","99999","56342","99999","15510","10,000-24,999","Not in a place","MN","Aitkin MN","Seavey township"," ","99999","Isle, MN","Isle Public School District",2,1 
"27","27001","59134","99999","56342","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Seavey township"," ","99999","Isle, MN","McGregor Public School District",14,1 
"27","27001","59134","99999","56350","99999","15510","10,000-24,999","Not in a place","MN","Aitkin MN","Seavey township"," ","99999","Mc Grath, MN","Isle Public School District",36,1 
"27","27001","59134","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Seavey township"," ","99999","Mc Grath, MN","McGregor Public School District",9,1 
"27","27001","59368","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Shamrock township"," ","99999","Mcgregor, MN","McGregor Public School District",1272,1 
"27","27001","61546","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Spalding township"," ","99999","Mcgregor, MN","McGregor Public School District",329,1 
"27","27001","61654","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Spencer township"," ","99999","Aitkin, MN","Aitkin Public School District",518,1 
"27","27001","64156","64156","55787","99999","19170","10,000-24,999","Less than 200","MN","Aitkin MN","Tamarack city","Tamarack city, MN","99999","Tamarack, MN","McGregor Public School District",94,1 
"27","27001","65722","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Turner township"," ","99999","Mcgregor, MN","McGregor Public School District",208,1 
"27","27001","66748","99999","55752","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Verdon township"," ","99999","Jacobson, MN","Hill City Public School District",10,1 
"27","27001","66748","99999","55752","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Verdon township"," ","99999","Jacobson, MN","McGregor Public School District",21,1 
"27","27001","66748","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Verdon township"," ","99999","Palisade, MN","Aitkin Public School District",12,1 
"27","27001","66748","99999","56469","99999","14010","10,000-24,999","Not in a place","MN","Aitkin MN","Verdon township"," ","99999","Palisade, MN","Hill City Public School District",2,1 
"27","27001","67540","99999","55735","99999","11085","10,000-24,999","Not in a place","MN","Aitkin MN","Wagner township"," ","99999","Finlayson, MN","East Central School District",26,1 
"27","27001","67540","99999","55735","99999","14070","10,000-24,999","Not in a place","MN","Aitkin MN","Wagner township"," ","99999","Finlayson, MN","Hinckley-Finlayson School District",295,1 
"27","27001","67540","99999","55735","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Wagner township"," ","99999","Finlayson, MN","McGregor Public School District",11,1 
"27","27001","68692","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Waukenabo township"," ","99999","Palisade, MN","Aitkin Public School District",316,1 
"27","27001","68872","99999","56431","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Wealthwood township"," ","99999","Aitkin, MN","Aitkin Public School District",268,1 
"27","27001","70132","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","White Pine township"," ","99999","Mc Grath, MN","McGregor Public School District",34,1 
"27","27001","70384","99999","55735","99999","14070","10,000-24,999","Not in a place","MN","Aitkin MN","Williams township"," ","99999","Finlayson, MN","Hinckley-Finlayson School District",24,1 
"27","27001","70384","99999","55735","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Williams township"," ","99999","Finlayson, MN","McGregor Public School District",22,1 
"27","27001","70384","99999","56350","99999","14070","10,000-24,999","Not in a place","MN","Aitkin MN","Williams township"," ","99999","Mc Grath, MN","Hinckley-Finlayson School District",29,1 
"27","27001","70384","99999","56350","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Williams township"," ","99999","Mc Grath, MN","McGregor Public School District",69,1 
"27","27001","71716","99999","55760","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Workman township"," ","99999","Mcgregor, MN","McGregor Public School District",127,1 
"27","27001","71716","99999","56469","99999","02760","10,000-24,999","Not in a place","MN","Aitkin MN","Workman township"," ","99999","Palisade, MN","Aitkin Public School District",15,1 
"27","27001","71716","99999","56469","99999","19170","10,000-24,999","Not in a place","MN","Aitkin MN","Workman township"," ","99999","Palisade, MN","McGregor Public School District",65,1 
"27","27003","01486","01486","55303","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Andover city","Andover city, MN","99999","Ramsey, MN","Anoka-Hennepin Public School District",20,1 
"27","27003","01486","01486","55304","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Andover city","Andover city, MN","99999","Andover, MN","Anoka-Hennepin Public School District",28624,1 
"27","27003","01486","01486","55304","99999","33540","250,000-999,999","25,000-99,999","MN","Anoka MN","Andover city","Andover city, MN","99999","Andover, MN","St. Francis Public School District",1954,1 
"27","27003","01720","01720","55303","99999","03180","250,000-999,999","10,000-24,999","MN","Anoka MN","Anoka city","Anoka city, MN","99999","Ramsey, MN","Anoka-Hennepin Public School District",17120,1 
"27","27003","01720","01720","55304","99999","03180","250,000-999,999","10,000-24,999","MN","Anoka MN","Anoka city","Anoka city, MN","99999","Andover, MN","Anoka-Hennepin Public School District",22,1 
"27","27003","05554","05554","55005","99999","33540","250,000-999,999","200-999","MN","Anoka MN","Bethel city","Bethel city, MN","99999","East Bethel, MN","St. Francis Public School District",466,1 
"27","27003","06382","06382","55014","99999","08100","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Lino Lakes, MN","Centennial Public School District",5082,1 
"27","27003","06382","06382","55014","99999","33330","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Lino Lakes, MN","Spring Lake Park Public Schools",4,1 
"27","27003","06382","06382","55434","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Blaine, MN","Anoka-Hennepin Public School District",21211,1 
"27","27003","06382","06382","55434","99999","33330","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Blaine, MN","Spring Lake Park Public Schools",7612,1 
"27","27003","06382","06382","55449","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Blaine, MN","Anoka-Hennepin Public School District",10950,1 
"27","27003","06382","06382","55449","99999","08100","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Blaine, MN","Centennial Public School District",1519,1 
"27","27003","06382","06382","55449","99999","33330","250,000-999,999","25,000-99,999","MN","Anoka MN","Blaine city","Blaine city, MN","99999","Blaine, MN","Spring Lake Park Public Schools",10808,1 
"27","27003","10648","10648","55038","99999","08100","250,000-999,999","2500-9999","MN","Anoka MN","Centerville city","Centerville city, MN","99999","Hugo, MN","Centennial Public School District",3792,1 
"27","27003","11494","11494","55014","99999","08100","250,000-999,999","2500-9999","MN","Anoka MN","Circle Pines city","Circle Pines city, MN","99999","Lino Lakes, MN","Centennial Public School District",4918,1 
"27","27003","12700","12700","55421","99999","09510","250,000-999,999","10,000-24,999","MN","Anoka MN","Columbia Heights city","Columbia Heights city, MN","99999","Columbia Heights, MN","Columbia Heights Public School District",19496,1 
"27","27003","12718","12718","55025","99999","12270","250,000-999,999","2500-9999","MN","Anoka MN","Columbus city","Columbus city, MN","99999","Forest Lake, MN","Forest Lake Public School District",3621,1 
"27","27003","12718","12718","55038","99999","12270","250,000-999,999","2500-9999","MN","Anoka MN","Columbus city","Columbus city, MN","99999","Hugo, MN","Forest Lake Public School District",14,1 
"27","27003","12718","12718","55092","99999","12270","250,000-999,999","2500-9999","MN","Anoka MN","Columbus city","Columbus city, MN","99999","Wyoming, MN","Forest Lake Public School District",279,1 
"27","27003","13114","13114","55433","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Coon Rapids city","Coon Rapids city, MN","99999","Coon Rapids, MN","Anoka-Hennepin Public School District",33613,1 
"27","27003","13114","13114","55448","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Coon Rapids city","Coon Rapids city, MN","99999","Coon Rapids, MN","Anoka-Hennepin Public School District",27863,1 
"27","27003","17486","17486","55005","99999","33540","250,000-999,999","10,000-24,999","MN","Anoka MN","East Bethel city","East Bethel city, MN","99999","East Bethel, MN","St. Francis Public School District",2977,1 
"27","27003","17486","17486","55011","99999","33540","250,000-999,999","10,000-24,999","MN","Anoka MN","East Bethel city","East Bethel city, MN","99999","East Bethel, MN","St. Francis Public School District",5765,1 
"27","27003","17486","17486","55092","99999","12270","250,000-999,999","10,000-24,999","MN","Anoka MN","East Bethel city","East Bethel city, MN","99999","Wyoming, MN","Forest Lake Public School District",1491,1 
"27","27003","17486","17486","55092","99999","33540","250,000-999,999","10,000-24,999","MN","Anoka MN","East Bethel city","East Bethel city, MN","99999","Wyoming, MN","St. Francis Public School District",1393,1 
"27","27003","22814","22814","55421","99999","09510","250,000-999,999","25,000-99,999","MN","Anoka MN","Fridley city","Fridley city, MN","99999","Columbia Heights, MN","Columbia Heights Public School District",2815,1 
"27","27003","22814","22814","55421","99999","12420","250,000-999,999","25,000-99,999","MN","Anoka MN","Fridley city","Fridley city, MN","99999","Columbia Heights, MN","Fridley Public School District",778,1 
"27","27003","22814","22814","55432","99999","03180","250,000-999,999","25,000-99,999","MN","Anoka MN","Fridley city","Fridley city, MN","99999","Fridley, MN","Anoka-Hennepin Public School District",1504,1 
"27","27003","22814","22814","55432","99999","09510","250,000-999,999","25,000-99,999","MN","Anoka MN","Fridley city","Fridley city, MN","99999","Fridley, MN","Columbia Heights Public School District",2139,1 
"27","27003","22814","22814","55432","99999","12420","250,000-999,999","25,000-99,999","MN","Anoka MN","Fridley city","Fridley city, MN","99999","Fridley, MN","Fridley Public School District",14727,1 
"27","27003","22814","22814","55432","99999","33330","250,000-999,999","25,000-99,999","MN","Anoka MN","Fridley city","Fridley city, MN","99999","Fridley, MN","Spring Lake Park Public Schools",5245,1 
"27","27003","26738","26738","55304","99999","03180","250,000-999,999","10,000-24,999","MN","Anoka MN","Ham Lake city","Ham Lake city, MN","99999","Andover, MN","Anoka-Hennepin Public School District",14266,1 
"27","27003","26738","26738","55304","99999","12270","250,000-999,999","10,000-24,999","MN","Anoka MN","Ham Lake city","Ham Lake city, MN","99999","Andover, MN","Forest Lake Public School District",1025,1 
"27","27003","26738","26738","55304","99999","33540","250,000-999,999","10,000-24,999","MN","Anoka MN","Ham Lake city","Ham Lake city, MN","99999","Andover, MN","St. Francis Public School District",5,1 
"27","27003","29258","29258","55421","99999","09510","250,000-999,999","200-999","MN","Anoka MN","Hilltop city","Hilltop city, MN","99999","Columbia Heights, MN","Columbia Heights Public School District",744,1 
"27","27003","36836","36836","55014","99999","08100","250,000-999,999","1000-2499","MN","Anoka MN","Lexington city","Lexington city, MN","99999","Lino Lakes, MN","Centennial Public School District",2049,1 
"27","27003","37322","37322","55014","99999","08100","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Lino Lakes, MN","Centennial Public School District",11944,1 
"27","27003","37322","37322","55014","99999","12270","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Lino Lakes, MN","Forest Lake Public School District",3277,1 
"27","27003","37322","37322","55025","99999","12270","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Forest Lake, MN","Forest Lake Public School District",107,1 
"27","27003","37322","37322","55038","99999","08100","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Hugo, MN","Centennial Public School District",2609,1 
"27","27003","37322","37322","55038","99999","12270","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Hugo, MN","Forest Lake Public School District",313,1 
"27","27003","37322","37322","55038","99999","42360","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Hugo, MN","White Bear Lake School District",1357,1 
"27","27003","37322","37322","55110","99999","42360","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","White Bear Lake, MN","White Bear Lake School District",540,1 
"27","27003","37322","37322","55126","99999","08100","250,000-999,999","10,000-24,999","MN","Anoka MN","Lino Lakes city","Lino Lakes city, MN","99999","Shoreview, MN","Centennial Public School District",69,1 
"27","27003","37376","40814","55079","99999","12270","250,000-999,999","200-999","MN","Anoka MN","Linwood township","Martin Lake CDP, MN","99999","Stacy, MN","Forest Lake Public School District",933,1 
"27","27003","37376","99999","55005","99999","12270","250,000-999,999","Not in a place","MN","Anoka MN","Linwood township"," ","99999","East Bethel, MN","Forest Lake Public School District",174,1 
"27","27003","37376","99999","55011","99999","12270","250,000-999,999","Not in a place","MN","Anoka MN","Linwood township"," ","99999","East Bethel, MN","Forest Lake Public School District",86,1 
"27","27003","37376","99999","55011","99999","33540","250,000-999,999","Not in a place","MN","Anoka MN","Linwood township"," ","99999","East Bethel, MN","St. Francis Public School District",1,1 
"27","27003","37376","99999","55079","99999","12270","250,000-999,999","Not in a place","MN","Anoka MN","Linwood township"," ","99999","Stacy, MN","Forest Lake Public School District",2607,1 
"27","27003","37376","99999","55092","99999","12270","250,000-999,999","Not in a place","MN","Anoka MN","Linwood township"," ","99999","Wyoming, MN","Forest Lake Public School District",1322,1 
"27","27003","47536","47536","55070","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Nowthen city","Nowthen city, MN","99999","St. Francis, MN","St. Francis Public School District",48,1 
"27","27003","47536","47536","55303","99999","03180","250,000-999,999","2500-9999","MN","Anoka MN","Nowthen city","Nowthen city, MN","99999","Ramsey, MN","Anoka-Hennepin Public School District",1313,1 
"27","27003","47536","47536","55303","99999","11370","250,000-999,999","2500-9999","MN","Anoka MN","Nowthen city","Nowthen city, MN","99999","Ramsey, MN","Elk River Public School District",288,1 
"27","27003","47536","47536","55303","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Nowthen city","Nowthen city, MN","99999","Ramsey, MN","St. Francis Public School District",1150,1 
"27","27003","47536","47536","55330","99999","11370","250,000-999,999","2500-9999","MN","Anoka MN","Nowthen city","Nowthen city, MN","99999","Elk River, MN","Elk River Public School District",1263,1 
"27","27003","47536","47536","55330","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Nowthen city","Nowthen city, MN","99999","Elk River, MN","St. Francis Public School District",381,1 
"27","27003","47690","47690","55005","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Oak Grove city","Oak Grove city, MN","99999","East Bethel, MN","St. Francis Public School District",797,1 
"27","27003","47690","47690","55011","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Oak Grove city","Oak Grove city, MN","99999","East Bethel, MN","St. Francis Public School District",4318,1 
"27","27003","47690","47690","55070","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Oak Grove city","Oak Grove city, MN","99999","St. Francis, MN","St. Francis Public School District",52,1 
"27","27003","47690","47690","55303","99999","03180","250,000-999,999","2500-9999","MN","Anoka MN","Oak Grove city","Oak Grove city, MN","99999","Ramsey, MN","Anoka-Hennepin Public School District",152,1 
"27","27003","47690","47690","55303","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Oak Grove city","Oak Grove city, MN","99999","Ramsey, MN","St. Francis Public School District",2641,1 
"27","27003","47690","47690","55304","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","Oak Grove city","Oak Grove city, MN","99999","Andover, MN","St. Francis Public School District",71,1 
"27","27003","53026","53026","55303","99999","03180","250,000-999,999","10,000-24,999","MN","Anoka MN","Ramsey city","Ramsey city, MN","99999","Ramsey, MN","Anoka-Hennepin Public School District",21105,1 
"27","27003","53026","53026","55303","99999","11370","250,000-999,999","10,000-24,999","MN","Anoka MN","Ramsey city","Ramsey city, MN","99999","Ramsey, MN","Elk River Public School District",2563,1 
"27","27003","56950","56950","55005","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","St. Francis city","St. Francis city, MN","99999","East Bethel, MN","St. Francis Public School District",8,1 
"27","27003","56950","56950","55070","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","St. Francis city","St. Francis city, MN","99999","St. Francis, MN","St. Francis Public School District",7124,1 
"27","27003","56950","56950","55330","99999","33540","250,000-999,999","2500-9999","MN","Anoka MN","St. Francis city","St. Francis city, MN","99999","Elk River, MN","St. Francis Public School District",86,1 
